Slope,Elevation,Corina,Target
227,2492,Bare rocks,1.0
228,2488,Bare rocks,1.0
231,2486,Bare rocks,1.0
235,2482,Bare rocks,1.0
235,2481,Bare rocks,1.0
238,2478,Bare rocks,1.0
240,2476,Bare rocks,1.0
224,2332,Sparsely vegetated areas,1.0
227,2334,Sparsely vegetated areas,1.0
227,2335,Sparsely vegetated areas,1.0
230,2330,Sparsely vegetated areas,1.0
228,2341,Sparsely vegetated areas,1.0
234,2328,Sparsely vegetated areas,1.0
231,2335,Sparsely vegetated areas,1.0
227,2344,Sparsely vegetated areas,1.0
232,2331,Natural grasslands,1.0
232,2338,Natural grasslands,1.0
228,2345,Sparsely vegetated areas,1.0
230,2331,Natural grasslands,1.0
229,2341,Natural grasslands,1.0
224,2351,Natural grasslands,1.0
227,2337,Natural grasslands,1.0
227,2349,Natural grasslands,1.0
225,2357,Natural grasslands,1.0
228,2334,Natural grasslands,1.0
227,2342,Natural grasslands,1.0
226,2350,Natural grasslands,1.0
223,2358,Natural grasslands,1.0
230,2329,Natural grasslands,1.0
228,2336,Natural grasslands,1.0
226,2343,Natural grasslands,1.0
227,2351,Natural grasslands,1.0
226,2364,Natural grasslands,1.0
232,2331,Natural grasslands,1.0
231,2338,Natural grasslands,1.0
229,2349,Natural grasslands,1.0
228,2361,Natural grasslands,1.0
229,2372,Natural grasslands,1.0
234,2329,Natural grasslands,1.0
234,2338,Natural grasslands,1.0
232,2347,Natural grasslands,1.0
230,2356,Natural grasslands,1.0
229,2366,Natural grasslands,1.0
230,2374,Natural grasslands,1.0
235,2331,Natural grasslands,1.0
236,2340,Natural grasslands,1.0
235,2346,Natural grasslands,1.0
234,2353,Natural grasslands,1.0
231,2360,Natural grasslands,1.0
230,2368,Natural grasslands,1.0
232,2376,Natural grasslands,1.0
237,2333,Natural grasslands,1.0
237,2339,Natural grasslands,1.0
237,2347,Natural grasslands,1.0
236,2352,Natural grasslands,1.0
233,2358,Natural grasslands,1.0
233,2363,Natural grasslands,1.0
232,2374,Natural grasslands,1.0
238,2330,Natural grasslands,1.0
239,2333,Natural grasslands,1.0
238,2340,Natural grasslands,1.0
238,2345,Natural grasslands,1.0
238,2351,Natural grasslands,1.0
237,2357,Natural grasslands,1.0
236,2365,Natural grasslands,1.0
236,2370,Natural grasslands,1.0
236,2380,Natural grasslands,1.0
239,2336,Natural grasslands,1.0
240,2340,Natural grasslands,1.0
240,2345,Natural grasslands,1.0
239,2350,Natural grasslands,1.0
237,2358,Natural grasslands,1.0
237,2365,Natural grasslands,1.0
237,2370,Natural grasslands,1.0
239,2374,Natural grasslands,1.0
240,2340,Natural grasslands,1.0
241,2346,Natural grasslands,1.0
240,2352,Natural grasslands,1.0
238,2358,Natural grasslands,1.0
236,2362,Natural grasslands,1.0
236,2367,Natural grasslands,1.0
237,2373,Natural grasslands,1.0
239,2378,Natural grasslands,1.0
242,2354,Natural grasslands,1.0
240,2357,Natural grasslands,1.0
239,2361,Natural grasslands,1.0
235,2365,Natural grasslands,1.0
236,2369,Natural grasslands,1.0
238,2378,Natural grasslands,1.0
242,2357,Natural grasslands,1.0
240,2360,Natural grasslands,1.0
236,2364,Natural grasslands,1.0
234,2371,Natural grasslands,1.0
235,2378,Natural grasslands,1.0
237,2386,Natural grasslands,1.0
243,2365,Natural grasslands,1.0
237,2371,Natural grasslands,1.0
233,2377,Natural grasslands,1.0
235,2383,Natural grasslands,1.0
236,2374,Natural grasslands,1.0
231,2379,Natural grasslands,1.0
233,2386,Natural grasslands,1.0
241,2114,Natural grasslands,1.0
242,2108,Natural grasslands,1.0
242,2102,Natural grasslands,1.0
242,2099,Natural grasslands,1.0
241,2096,Natural grasslands,1.0
238,2107,Natural grasslands,1.0
240,2102,Natural grasslands,1.0
241,2097,Natural grasslands,1.0
240,2094,Natural grasslands,1.0
237,2108,Natural grasslands,1.0
239,2102,Natural grasslands,1.0
240,2097,Natural grasslands,1.0
241,2093,Natural grasslands,1.0
237,2102,Natural grasslands,1.0
238,2097,Natural grasslands,1.0
240,2093,Natural grasslands,1.0
238,2096,Natural grasslands,1.0
206,2223,Sparsely vegetated areas,1.0
206,2237,Sparsely vegetated areas,1.0
208,2227,Sparsely vegetated areas,1.0
208,2238,Sparsely vegetated areas,1.0
209,2249,Sparsely vegetated areas,1.0
209,2228,Sparsely vegetated areas,1.0
209,2238,Sparsely vegetated areas,1.0
209,2252,Sparsely vegetated areas,1.0
210,2259,Sparsely vegetated areas,1.0
208,2221,Sparsely vegetated areas,1.0
208,2229,Sparsely vegetated areas,1.0
209,2237,Sparsely vegetated areas,1.0
209,2241,Sparsely vegetated areas,1.0
210,2262,Sparsely vegetated areas,1.0
213,2272,Sparsely vegetated areas,1.0
213,2231,Sparsely vegetated areas,1.0
216,2228,Sparsely vegetated areas,1.0
215,2227,Sparsely vegetated areas,1.0
218,2227,Sparsely vegetated areas,1.0
218,2221,Sparsely vegetated areas,1.0
218,2223,Sparsely vegetated areas,1.0
210,2222,Sparsely vegetated areas,1.0
208,2224,Sparsely vegetated areas,1.0
208,2231,Sparsely vegetated areas,1.0
207,2233,Sparsely vegetated areas,1.0
208,2235,Sparsely vegetated areas,1.0
209,2249,Sparsely vegetated areas,1.0
210,2259,Sparsely vegetated areas,1.0
212,2271,Sparsely vegetated areas,1.0
217,2282,Sparsely vegetated areas,1.0
208,2247,Sparsely vegetated areas,1.0
207,2239,Sparsely vegetated areas,1.0
212,2241,Sparsely vegetated areas,1.0
213,2240,Sparsely vegetated areas,1.0
215,2240,Sparsely vegetated areas,1.0
216,2230,Sparsely vegetated areas,1.0
215,2228,Sparsely vegetated areas,1.0
217,2221,Sparsely vegetated areas,1.0
218,2225,Sparsely vegetated areas,1.0
213,2231,Sparsely vegetated areas,1.0
210,2230,Sparsely vegetated areas,1.0
208,2237,Sparsely vegetated areas,1.0
207,2241,Sparsely vegetated areas,1.0
206,2248,Sparsely vegetated areas,1.0
207,2247,Sparsely vegetated areas,1.0
207,2256,Sparsely vegetated areas,1.0
209,2265,Sparsely vegetated areas,1.0
214,2275,Sparsely vegetated areas,1.0
216,2285,Sparsely vegetated areas,1.0
223,2297,Sparsely vegetated areas,1.0
204,2264,Sparsely vegetated areas,1.0
205,2262,Sparsely vegetated areas,1.0
206,2260,Sparsely vegetated areas,1.0
211,2251,Sparsely vegetated areas,1.0
207,2252,Sparsely vegetated areas,1.0
209,2240,Sparsely vegetated areas,1.0
204,2237,Sparsely vegetated areas,1.0
208,2235,Sparsely vegetated areas,1.0
208,2240,Sparsely vegetated areas,1.0
206,2238,Sparsely vegetated areas,1.0
207,2246,Sparsely vegetated areas,1.0
207,2250,Sparsely vegetated areas,1.0
208,2255,Sparsely vegetated areas,1.0
207,2253,Sparsely vegetated areas,1.0
208,2264,Sparsely vegetated areas,1.0
208,2264,Sparsely vegetated areas,1.0
210,2274,Sparsely vegetated areas,1.0
217,2282,Sparsely vegetated areas,1.0
219,2292,Sparsely vegetated areas,1.0
224,2297,Sparsely vegetated areas,1.0
229,2304,Sparsely vegetated areas,1.0
203,2284,Sparsely vegetated areas,1.0
202,2280,Sparsely vegetated areas,1.0
200,2276,Sparsely vegetated areas,1.0
202,2263,Sparsely vegetated areas,1.0
201,2263,Sparsely vegetated areas,1.0
199,2261,Sparsely vegetated areas,1.0
196,2258,Sparsely vegetated areas,1.0
194,2248,Sparsely vegetated areas,1.0
198,2257,Sparsely vegetated areas,1.0
201,2260,Sparsely vegetated areas,1.0
204,2265,Sparsely vegetated areas,1.0
207,2263,Sparsely vegetated areas,1.0
208,2271,Sparsely vegetated areas,1.0
209,2268,Sparsely vegetated areas,1.0
209,2275,Sparsely vegetated areas,1.0
209,2281,Sparsely vegetated areas,1.0
211,2292,Sparsely vegetated areas,1.0
215,2296,Sparsely vegetated areas,1.0
222,2303,Sparsely vegetated areas,1.0
228,2307,Sparsely vegetated areas,1.0
203,2302,Sparsely vegetated areas,1.0
201,2303,Sparsely vegetated areas,1.0
199,2294,Sparsely vegetated areas,1.0
200,2286,Sparsely vegetated areas,1.0
203,2285,Sparsely vegetated areas,1.0
201,2279,Sparsely vegetated areas,1.0
200,2279,Sparsely vegetated areas,1.0
197,2278,Sparsely vegetated areas,1.0
198,2279,Sparsely vegetated areas,1.0
205,2275,Sparsely vegetated areas,1.0
207,2281,Sparsely vegetated areas,1.0
209,2276,Sparsely vegetated areas,1.0
209,2282,Sparsely vegetated areas,1.0
210,2286,Sparsely vegetated areas,1.0
210,2292,Sparsely vegetated areas,1.0
210,2294,Sparsely vegetated areas,1.0
213,2306,Sparsely vegetated areas,1.0
215,2312,Sparsely vegetated areas,1.0
222,2316,Sparsely vegetated areas,1.0
226,2315,Sparsely vegetated areas,1.0
201,2317,Sparsely vegetated areas,1.0
201,2316,Sparsely vegetated areas,1.0
203,2313,Sparsely vegetated areas,1.0
204,2304,Sparsely vegetated areas,1.0
205,2304,Sparsely vegetated areas,1.0
208,2302,Sparsely vegetated areas,1.0
205,2299,Sparsely vegetated areas,1.0
209,2294,Sparsely vegetated areas,1.0
204,2295,Sparsely vegetated areas,1.0
210,2288,Sparsely vegetated areas,1.0
210,2294,Sparsely vegetated areas,1.0
211,2295,Sparsely vegetated areas,1.0
211,2299,Sparsely vegetated areas,1.0
210,2300,Sparsely vegetated areas,1.0
213,2308,Sparsely vegetated areas,1.0
212,2314,Sparsely vegetated areas,1.0
215,2320,Sparsely vegetated areas,1.0
217,2322,Sparsely vegetated areas,1.0
222,2329,Sparsely vegetated areas,1.0
202,2336,Sparsely vegetated areas,1.0
203,2330,Sparsely vegetated areas,1.0
204,2329,Sparsely vegetated areas,1.0
207,2325,Sparsely vegetated areas,1.0
210,2320,Sparsely vegetated areas,1.0
213,2317,Sparsely vegetated areas,1.0
213,2314,Sparsely vegetated areas,1.0
214,2305,Sparsely vegetated areas,1.0
213,2308,Sparsely vegetated areas,1.0
212,2308,Sparsely vegetated areas,1.0
212,2310,Sparsely vegetated areas,1.0
211,2310,Sparsely vegetated areas,1.0
213,2316,Sparsely vegetated areas,1.0
213,2320,Sparsely vegetated areas,1.0
215,2324,Sparsely vegetated areas,1.0
216,2327,Sparsely vegetated areas,1.0
219,2334,Sparsely vegetated areas,1.0
220,2332,Sparsely vegetated areas,1.0
206,2351,Sparsely vegetated areas,1.0
205,2344,Sparsely vegetated areas,1.0
208,2340,Sparsely vegetated areas,1.0
210,2335,Sparsely vegetated areas,1.0
213,2335,Sparsely vegetated areas,1.0
215,2328,Sparsely vegetated areas,1.0
217,2324,Sparsely vegetated areas,1.0
216,2323,Sparsely vegetated areas,1.0
214,2323,Sparsely vegetated areas,1.0
216,2327,Sparsely vegetated areas,1.0
217,2331,Sparsely vegetated areas,1.0
221,2331,Sparsely vegetated areas,1.0
219,2333,Sparsely vegetated areas,1.0
221,2337,Sparsely vegetated areas,1.0
221,2336,Sparsely vegetated areas,1.0
222,2344,Sparsely vegetated areas,1.0
212,2368,Sparsely vegetated areas,1.0
211,2363,Sparsely vegetated areas,1.0
211,2358,Sparsely vegetated areas,1.0
211,2347,Sparsely vegetated areas,1.0
213,2348,Sparsely vegetated areas,1.0
214,2343,Sparsely vegetated areas,1.0
216,2339,Sparsely vegetated areas,1.0
220,2340,Sparsely vegetated areas,1.0
220,2342,Sparsely vegetated areas,1.0
228,2340,Sparsely vegetated areas,1.0
224,2341,Sparsely vegetated areas,1.0
229,2343,Sparsely vegetated areas,1.0
225,2376,Sparsely vegetated areas,1.0
227,2371,Sparsely vegetated areas,1.0
227,2358,Sparsely vegetated areas,1.0
223,2356,Sparsely vegetated areas,1.0
232,2353,Sparsely vegetated areas,1.0
230,2353,Sparsely vegetated areas,1.0
235,2351,Sparsely vegetated areas,1.0
237,2270,Bare rocks,1.0
236,2271,Bare rocks,1.0
241,2270,Bare rocks,1.0
242,2273,Bare rocks,1.0
245,2275,Bare rocks,1.0
245,2276,Bare rocks,1.0
245,2273,Bare rocks,1.0
240,2276,Bare rocks,1.0
238,2280,Bare rocks,1.0
240,2276,Bare rocks,1.0
240,2278,Bare rocks,1.0
241,2278,Bare rocks,1.0
243,2281,Bare rocks,1.0
245,2281,Bare rocks,1.0
246,2282,Bare rocks,1.0
242,2285,Bare rocks,1.0
241,2286,Bare rocks,1.0
240,2286,Bare rocks,1.0
242,2285,Bare rocks,1.0
243,2287,Bare rocks,1.0
244,2286,Bare rocks,1.0
245,2285,Bare rocks,1.0
243,2292,Bare rocks,1.0
241,2293,Bare rocks,1.0
241,2294,Bare rocks,1.0
241,2294,Bare rocks,1.0
243,2294,Bare rocks,1.0
244,2290,Bare rocks,1.0
243,2299,Bare rocks,1.0
243,2302,Bare rocks,1.0
244,2301,Bare rocks,1.0
243,2299,Bare rocks,1.0
243,2299,Bare rocks,1.0
243,2294,Bare rocks,1.0
244,2306,Bare rocks,1.0
245,2307,Bare rocks,1.0
245,2303,Bare rocks,1.0
238,2311,Natural grasslands,1.0
240,2319,Natural grasslands,1.0
238,2311,Natural grasslands,1.0
239,2317,Natural grasslands,1.0
240,2323,Natural grasslands,1.0
241,2331,Sparsely vegetated areas,1.0
239,2317,Natural grasslands,1.0
240,2326,Natural grasslands,1.0
241,2334,Natural grasslands,1.0
242,2341,Sparsely vegetated areas,1.0
238,2312,Natural grasslands,1.0
238,2319,Natural grasslands,1.0
239,2326,Natural grasslands,1.0
242,2333,Natural grasslands,1.0
244,2340,Natural grasslands,1.0
237,2313,Natural grasslands,1.0
239,2319,Natural grasslands,1.0
241,2326,Natural grasslands,1.0
242,2333,Natural grasslands,1.0
243,2341,Natural grasslands,1.0
238,2313,Natural grasslands,1.0
239,2320,Natural grasslands,1.0
241,2329,Natural grasslands,1.0
243,2337,Natural grasslands,1.0
237,2317,Natural grasslands,1.0
240,2327,Natural grasslands,1.0
242,2334,Natural grasslands,1.0
243,2340,Natural grasslands,1.0
236,2318,Natural grasslands,1.0
237,2323,Natural grasslands,1.0
239,2330,Natural grasslands,1.0
241,2339,Natural grasslands,1.0
236,2312,Natural grasslands,1.0
235,2316,Natural grasslands,1.0
236,2322,Natural grasslands,1.0
238,2327,Natural grasslands,1.0
241,2331,Natural grasslands,1.0
243,2342,Natural grasslands,1.0
236,2316,Natural grasslands,1.0
236,2320,Natural grasslands,1.0
239,2324,Natural grasslands,1.0
239,2333,Natural grasslands,1.0
242,2339,Natural grasslands,1.0
238,2312,Natural grasslands,1.0
237,2314,Natural grasslands,1.0
238,2318,Natural grasslands,1.0
238,2326,Natural grasslands,1.0
240,2333,Natural grasslands,1.0
244,2339,Natural grasslands,1.0
239,2312,Natural grasslands,1.0
238,2316,Natural grasslands,1.0
239,2320,Natural grasslands,1.0
240,2327,Natural grasslands,1.0
244,2333,Natural grasslands,1.0
244,2339,Natural grasslands,1.0
236,2300,Sparsely vegetated areas,1.0
230,2292,Sparsely vegetated areas,1.0
226,2281,Sparsely vegetated areas,1.0
220,2267,Sparsely vegetated areas,1.0
239,2320,Sparsely vegetated areas,1.0
240,2315,Sparsely vegetated areas,1.0
232,2307,Sparsely vegetated areas,1.0
234,2298,Sparsely vegetated areas,1.0
226,2285,Sparsely vegetated areas,1.0
223,2275,Sparsely vegetated areas,1.0
218,2259,Sparsely vegetated areas,1.0
216,2245,Sparsely vegetated areas,1.0
222,2228,Sparsely vegetated areas,1.0
228,2220,Sparsely vegetated areas,1.0
232,2214,Sparsely vegetated areas,1.0
233,2206,Sparsely vegetated areas,1.0
235,2198,Sparsely vegetated areas,1.0
236,2191,Sparsely vegetated areas,1.0
239,2183,Sparsely vegetated areas,1.0
239,2330,Sparsely vegetated areas,1.0
233,2323,Sparsely vegetated areas,1.0
233,2313,Sparsely vegetated areas,1.0
224,2300,Sparsely vegetated areas,1.0
219,2291,Sparsely vegetated areas,1.0
212,2277,Sparsely vegetated areas,1.0
215,2263,Sparsely vegetated areas,1.0
209,2246,Sparsely vegetated areas,1.0
210,2238,Sparsely vegetated areas,1.0
215,2227,Sparsely vegetated areas,1.0
221,2220,Sparsely vegetated areas,1.0
227,2212,Sparsely vegetated areas,1.0
218,2201,Sparsely vegetated areas,1.0
227,2189,Sparsely vegetated areas,1.0
225,2184,Sparsely vegetated areas,1.0
230,2336,Sparsely vegetated areas,1.0
224,2325,Sparsely vegetated areas,1.0
211,2311,Sparsely vegetated areas,1.0
210,2306,Sparsely vegetated areas,1.0
196,2293,Sparsely vegetated areas,1.0
203,2282,Sparsely vegetated areas,1.0
201,2267,Sparsely vegetated areas,1.0
203,2255,Sparsely vegetated areas,1.0
201,2241,Sparsely vegetated areas,1.0
199,2233,Sparsely vegetated areas,1.0
212,2222,Sparsely vegetated areas,1.0
206,2209,Sparsely vegetated areas,1.0
212,2196,Sparsely vegetated areas,1.0
208,2189,Sparsely vegetated areas,1.0
213,2179,Sparsely vegetated areas,1.0
212,2324,Sparsely vegetated areas,1.0
212,2316,Sparsely vegetated areas,1.0
199,2302,Sparsely vegetated areas,1.0
198,2292,Sparsely vegetated areas,1.0
193,2280,Sparsely vegetated areas,1.0
193,2273,Sparsely vegetated areas,1.0
198,2253,Sparsely vegetated areas,1.0
195,2246,Sparsely vegetated areas,1.0
195,2234,Sparsely vegetated areas,1.0
191,2216,Sparsely vegetated areas,1.0
196,2198,Sparsely vegetated areas,1.0
198,2194,Sparsely vegetated areas,1.0
200,2182,Sparsely vegetated areas,1.0
206,2315,Sparsely vegetated areas,1.0
201,2304,Sparsely vegetated areas,1.0
197,2291,Sparsely vegetated areas,1.0
197,2281,Sparsely vegetated areas,1.0
192,2262,Sparsely vegetated areas,1.0
198,2254,Sparsely vegetated areas,1.0
198,2239,Sparsely vegetated areas,1.0
198,2225,Sparsely vegetated areas,1.0
191,2209,Sparsely vegetated areas,1.0
190,2198,Sparsely vegetated areas,1.0
192,2184,Sparsely vegetated areas,1.0
202,2305,Sparsely vegetated areas,1.0
201,2296,Sparsely vegetated areas,1.0
199,2275,Sparsely vegetated areas,1.0
201,2265,Sparsely vegetated areas,1.0
202,2249,Sparsely vegetated areas,1.0
204,2235,Sparsely vegetated areas,1.0
206,2220,Sparsely vegetated areas,1.0
203,2210,Sparsely vegetated areas,1.0
198,2195,Sparsely vegetated areas,1.0
197,2183,Sparsely vegetated areas,1.0
229,1966,Sparsely vegetated areas,1.0
242,2357,Natural grasslands,1.0
240,2361,Natural grasslands,1.0
234,2361,Natural grasslands,1.0
235,2361,Natural grasslands,1.0
223,2364,Natural grasslands,1.0
230,2358,Natural grasslands,1.0
222,2356,Natural grasslands,1.0
225,2355,Sparsely vegetated areas,1.0
226,2356,Sparsely vegetated areas,1.0
227,2356,Sparsely vegetated areas,1.0
231,2355,Sparsely vegetated areas,1.0
208,2282,Sparsely vegetated areas,1.0
205,2266,Sparsely vegetated areas,1.0
210,2252,Sparsely vegetated areas,1.0
209,2233,Sparsely vegetated areas,1.0
212,2223,Sparsely vegetated areas,1.0
210,2210,Sparsely vegetated areas,1.0
205,2199,Sparsely vegetated areas,1.0
201,2187,Sparsely vegetated areas,1.0
228,1962,Sparsely vegetated areas,1.0
225,1974,Sparsely vegetated areas,1.0
223,1987,Sparsely vegetated areas,1.0
223,2001,Sparsely vegetated areas,1.0
242,2358,Natural grasslands,1.0
242,2353,Natural grasslands,1.0
240,2354,Natural grasslands,1.0
229,2352,Natural grasslands,1.0
227,2352,Natural grasslands,1.0
215,2356,Natural grasslands,1.0
218,2350,Natural grasslands,1.0
212,2346,Natural grasslands,1.0
212,2345,Natural grasslands,1.0
215,2343,Natural grasslands,1.0
216,2341,Natural grasslands,1.0
220,2339,Sparsely vegetated areas,1.0
221,2345,Sparsely vegetated areas,1.0
224,2346,Sparsely vegetated areas,1.0
223,2346,Sparsely vegetated areas,1.0
220,2349,Sparsely vegetated areas,1.0
217,2270,Sparsely vegetated areas,1.0
211,2260,Sparsely vegetated areas,1.0
213,2248,Sparsely vegetated areas,1.0
213,2226,Sparsely vegetated areas,1.0
212,2215,Sparsely vegetated areas,1.0
210,2204,Sparsely vegetated areas,1.0
204,2191,Sparsely vegetated areas,1.0
226,1964,Sparsely vegetated areas,1.0
223,1977,Sparsely vegetated areas,1.0
224,1989,Sparsely vegetated areas,1.0
224,2000,Sparsely vegetated areas,1.0
228,2009,Sparsely vegetated areas,1.0
232,2376,Natural grasslands,1.0
234,2367,Natural grasslands,1.0
236,2358,Natural grasslands,1.0
239,2353,Natural grasslands,1.0
232,2348,Natural grasslands,1.0
234,2347,Natural grasslands,1.0
224,2347,Natural grasslands,1.0
216,2340,Natural grasslands,1.0
208,2335,Natural grasslands,1.0
203,2334,Natural grasslands,1.0
204,2330,Natural grasslands,1.0
207,2327,Natural grasslands,1.0
209,2322,Natural grasslands,1.0
213,2329,Natural grasslands,1.0
215,2328,Natural grasslands,1.0
211,2331,Sparsely vegetated areas,1.0
212,2336,Sparsely vegetated areas,1.0
207,2333,Sparsely vegetated areas,1.0
212,2330,Sparsely vegetated areas,1.0
210,2326,Sparsely vegetated areas,1.0
216,2250,Sparsely vegetated areas,1.0
213,2236,Sparsely vegetated areas,1.0
212,2221,Sparsely vegetated areas,1.0
212,2206,Sparsely vegetated areas,1.0
210,2192,Sparsely vegetated areas,1.0
205,2180,Sparsely vegetated areas,1.0
224,1965,Sparsely vegetated areas,1.0
224,1976,Sparsely vegetated areas,1.0
223,1986,Sparsely vegetated areas,1.0
226,1996,Sparsely vegetated areas,1.0
229,2008,Sparsely vegetated areas,1.0
227,2377,Natural grasslands,1.0
229,2366,Natural grasslands,1.0
233,2360,Natural grasslands,1.0
230,2353,Natural grasslands,1.0
232,2347,Natural grasslands,1.0
228,2340,Natural grasslands,1.0
223,2337,Natural grasslands,1.0
215,2329,Natural grasslands,1.0
211,2325,Natural grasslands,1.0
206,2317,Natural grasslands,1.0
204,2313,Natural grasslands,1.0
205,2306,Natural grasslands,1.0
210,2311,Natural grasslands,1.0
213,2310,Natural grasslands,1.0
212,2314,Natural grasslands,1.0
211,2318,Natural grasslands,1.0
208,2316,Sparsely vegetated areas,1.0
203,2314,Sparsely vegetated areas,1.0
202,2316,Sparsely vegetated areas,1.0
206,2313,Sparsely vegetated areas,1.0
211,2308,Sparsely vegetated areas,1.0
215,2298,Sparsely vegetated areas,1.0
213,2238,Sparsely vegetated areas,1.0
211,2223,Sparsely vegetated areas,1.0
209,2208,Sparsely vegetated areas,1.0
210,2190,Sparsely vegetated areas,1.0
208,2183,Sparsely vegetated areas,1.0
224,1962,Sparsely vegetated areas,1.0
223,1973,Sparsely vegetated areas,1.0
226,1986,Sparsely vegetated areas,1.0
229,1999,Sparsely vegetated areas,1.0
231,2011,Sparsely vegetated areas,1.0
220,2376,Natural grasslands,1.0
223,2369,Natural grasslands,1.0
225,2360,Natural grasslands,1.0
227,2353,Natural grasslands,1.0
226,2346,Natural grasslands,1.0
224,2340,Natural grasslands,1.0
222,2329,Natural grasslands,1.0
217,2325,Natural grasslands,1.0
213,2315,Natural grasslands,1.0
212,2305,Natural grasslands,1.0
210,2296,Natural grasslands,1.0
213,2298,Natural grasslands,1.0
212,2293,Natural grasslands,1.0
216,2296,Natural grasslands,1.0
214,2299,Natural grasslands,1.0
214,2298,Natural grasslands,1.0
207,2297,Natural grasslands,1.0
201,2300,Natural grasslands,1.0
200,2296,Sparsely vegetated areas,1.0
199,2295,Sparsely vegetated areas,1.0
203,2291,Sparsely vegetated areas,1.0
208,2296,Sparsely vegetated areas,1.0
213,2288,Sparsely vegetated areas,1.0
216,2286,Sparsely vegetated areas,1.0
205,2205,Sparsely vegetated areas,1.0
208,2198,Sparsely vegetated areas,1.0
210,2186,Sparsely vegetated areas,1.0
210,2178,Sparsely vegetated areas,1.0
223,1962,Sparsely vegetated areas,1.0
224,1977,Sparsely vegetated areas,1.0
227,1990,Sparsely vegetated areas,1.0
231,2000,Sparsely vegetated areas,1.0
216,2379,Natural grasslands,1.0
